id,name,latitude,longitude,distance_km,duration_min,type,address
251,"Nightcliff Primary School, Pandanus Street, Nightcliff, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3807665,130.8503049,11.31,14.96,school,Pandanus Street
252,"Nightcliff Middle School, Aralia Street, Rapid Creek, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.377622,130.8530767,13.11,16.04,school,Aralia Street
253,"Haileybury Rendall School, 6057, Berrimah Road, Berrimah, Darwin, City of Darwin, Northern Territory, 0828, Australia",-12.4440901,130.9222174,14.26,16.14,school,Berrimah Road
254,"Larrakeyah Primary School, Larrakeyah PS Carpark, Larrakeyah, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4572771,130.829473,2.35,4.8,school,Larrakeyah PS Carpark
255,"Murrupurtiyanuwu Catholic Primary School, Kerinauia Drive, Wurrumiyanga, Tiwi Islands Region, Northern Territory, Australia",-11.7567353,130.6392957,0.0,0.0,school,Kerinauia Drive
256,"St Andrew's School, Leanyer Drive, Leanyer, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3735466,130.8994601,15.66,18.55,school,Leanyer Drive
257,"Nakara Primary School, Kilfoyle Crescent, Nakara, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.370079,130.8778228,13.77,17.14,school,Kilfoyle Crescent
258,"Henbury School, Henbury Avenue, Tiwi, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3673741,130.8840475,14.58,17.38,school,Henbury Avenue
259,"Dripstone Middle School, Willeroo Street, Tiwi, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3658768,130.8831245,15.24,18.92,school,Willeroo Street
260,"Milkwood Steiner School, 107, Boulter Road, Berrimah, Darwin, City of Darwin, Northern Territory, 0828, Australia",-12.4145278,130.9222983,15.17,17.22,school,Boulter Road
261,"Malak Primary School, Pitman Court, Malak, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3919567,130.9027246,14.93,17.31,school,Pitman Court
262,"Anula Primary School, Ford Street, Anula, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3913335,130.8934519,13.9,17.0,school,Ford Street
263,"The Essington School, 22, Chapman Road, Rapid Creek, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.382596,130.8571738,10.84,13.81,school,Chapman Road
264,"St Paul’s Catholic Primary School, Trower Road, Millner, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3870325,130.8580643,10.54,12.93,school,Trower Road
